Voc_V,Jsc_uA_cm2,P_reported_uW_cm2,P_est_uW_cm2,log_P_est,log_P_reported,log_Voc,log_Jsc,mechanism,structure,ion,delta_logP_est_minus_reported
0.04,0.142,,0.0014199999999999,-2.8474059220725305,,-1.3979400086720375,-0.8477116556169435,ion_gradient,porous,proton,
0.25,0.16,0.0104,0.01,-1.9999565727231368,-1.9829666607012197,-0.6020599913279624,-0.7958800173440752,ion_gradient,porous,proton,-0.01698991202191702
0.28,0.19,,0.0133,-1.8761157065399925,,-0.5528419686577808,-0.721246399047171,ion_gradient,porous,proton,
0.54,0.35,0.047,0.04725,-1.325588995834374,-1.3279021420642825,-0.26760624017703144,-0.4559319556497244,ion_gradient,porous,proton,0.002313146229908414
0.47,0.5,,0.05875,-1.2309847368726377,,-0.3279021420642826,-0.3010299956639812,ion_gradient,porous,proton,
0.8,0.5,,0.1,-0.9999956570768956,,-0.09691001300805639,-0.3010299956639812,ion_gradient,porous,proton,
3.18,0.58,0.45,0.4611,-0.3362039359154635,-0.3467874862246563,0.5024271199844327,-0.23657200643706275,streaming,porous,anion,0.010583550309192835
0.5,0.6,,0.075,-1.1249329460538116,,-0.3010299956639812,-0.2218487496163564,ion_gradient,film,proton,
0.68,0.7,0.3978,0.119,-0.924449389089342,-0.40033522121158327,-0.16749108729376366,-0.1549019599857432,ion_gradient,porous,proton,-0.5241141678777588
1.0,0.72,0.212,0.18,-0.7447250821562743,-0.6736641390712486,0.0,-0.14266750356873156,ion_gradient,porous,proton,-0.07106094308502575
0.189,0.97,0.083,0.0458325,-1.338816977303591,-1.080921907623926,-0.7235381958267558,-0.01322826573375516,ion_gradient,porous,proton,-0.2578950696796649
0.6,1.0,0.07,0.15,-0.8239058456574236,-1.154901959985743,-0.2218487496163564,0.0,ion_gradient,porous,proton,0.33099611432831944
0.67,1.0,0.23,0.1675,-0.7759825958319986,-0.638272163982407,-0.17392519729917355,0.0,ion_gradient,porous,other_cation,-0.13771043184959153
0.82,1.01,,0.2070499999999999,-0.6839226676323439,,-0.08618614761628333,0.004321373782642578,ion_gradient,porous,proton,
0.3,1.2,,0.09,-1.0457526650932398,,-0.5228787452803376,0.07918124604762482,ion_gradient,film,proton,
