log_R,log_P_est,R_bin
-3.0,-0.0668919995997447,"(-3.4699999999999998, -2.0]"
-0.6575773191777937,-0.3170421724868569,"(-1.114, -0.127]"
0.0,-0.1249381575493767,"(-0.127, 0.318]"
0.0,0.0330218471799269,"(-0.127, 0.318]"
-2.0,0.0791816079595423,"(-3.4699999999999998, -2.0]"
-2.5228787452803374,-1.5281071486294195,"(-3.4699999999999998, -2.0]"
-1.0,0.2091129720699776,"(-1.114, -0.127]"
-2.0,0.315550744428857,"(-3.4699999999999998, -2.0]"
-1.4436974992327127,0.3424228782287441,"(-2.0, -1.114]"
-2.0,0.4548450123925122,"(-3.4699999999999998, -2.0]"
0.3424226808222063,0.386944802542633,"(0.318, 3.0]"
-1.3010299956639813,0.4490926855352072,"(-2.0, -1.114]"
1.3010299956639813,0.7419391564057284,"(0.318, 3.0]"
-1.0969100130080565,0.1639439505925984,"(-1.114, -0.127]"
1.6989700043360187,0.3064252420170452,"(0.318, 3.0]"
-1.154901959985743,0.4382457565100884,"(-2.0, -1.114]"
-2.0809219076239263,0.0128376463500955,"(-3.4699999999999998, -2.0]"
-1.3979400086720375,1.0059094893370626,"(-2.0, -1.114]"
-1.0,0.6434527751894676,"(-1.114, -0.127]"
-2.0,0.0746339840184191,"(-3.4699999999999998, -2.0]"
-1.6989700043360187,0.7873542612984434,"(-2.0, -1.114]"
0.1643528557844371,0.6000195587643682,"(-0.127, 0.318]"
-1.619788758288394,0.7732378200953514,"(-2.0, -1.114]"
-3.0,0.6720979503387888,"(-3.4699999999999998, -2.0]"
-2.5228787452803374,0.4791505966286419,"(-3.4699999999999998, -2.0]"
-2.0,0.7871061639417858,"(-3.4699999999999998, -2.0]"
-3.0,1.2020794682786262,"(-3.4699999999999998, -2.0]"
-0.8860566476931632,1.0711914087490777,"(-1.114, -0.127]"
-2.397940008672037,1.0969100477516136,"(-3.4699999999999998, -2.0]"
-1.3010299956639813,1.3010300173787048,"(-2.0, -1.114]"
-1.3979400086720375,1.3802112598072092,"(-2.0, -1.114]"
-1.0,1.4525530785479546,"(-1.114, -0.127]"
-2.0457574905606752,1.8281441137549816,"(-3.4699999999999998, -2.0]"
-1.0,2.1398790895482978,"(-1.114, -0.127]"
-2.096910013008056,2.552059535406101,"(-3.4699999999999998, -2.0]"
-3.3010299956639813,2.505149979677076,"(-3.4699999999999998, -2.0]"
0.4771212547196624,0.6109289592680012,"(0.318, 3.0]"
